cd_corrida,is_carga_alta_carregamento_1,is_carga_alta_carregamento_2,qt_segundos_duracao_parada_carregamento_1,qt_segundos_duracao_parada_carregamento_2,is_carga_alta,qt_segundos_parada_carga_alta
O5586,1,0,147,0,1,147
O6048,0,0,0,0,0,0
O6113,0,0,0,0,0,0
O6161,1,0,78,0,1,78
O6376,0,0,0,0,0,0
O6440,0,0,0,0,0,0
O6846,0,0,0,0,0,0
O6860,0,0,0,0,0,0
O6960,0,0,0,0,0,0
O7174,0,1,0,536,1,536
N9160,0,0,0,0,0,0
N9208,1,0,133,0,1,133
N9324,0,0,0,0,0,0
N9391,0,0,0,0,0,0
N9790,0,1,0,71,1,71
N9797,0,0,0,0,0,0
N9834,0,0,0,0,0,0
O0045,0,0,0,0,0,0
O0245,0,0,0,0,0,0
O0402,0,1,0,73,1,73
O0449,0,0,0,0,0,0
O0986,1,0,191,0,1,191
O1013,0,0,0,0,0,0
O1490,0,0,0,0,0,0
O2606,0,0,0,0,0,0
O2624,0,0,0,0,0,0
O2654,1,0,357,0,1,357
O2921,0,0,0,0,0,0
O3216,0,1,0,392,1,392
O3554,0,0,0,0,0,0
O3575,0,0,0,0,0,0
O4488,1,0,499,0,1,499
O4651,0,0,0,0,0,0
O5004,0,0,0,0,0,0
O5629,0,0,0,0,0,0
O5729,0,0,0,0,0,0
O5731,0,0,0,0,0,0
O6005,0,1,0,115,1,115
O6636,1,0,135,0,1,135
O6829,0,0,0,0,0,0
O6965,0,0,0,0,0,0
O7044,1,0,225,0,1,225
O7073,0,0,0,0,0,0
O7215,0,1,0,68,1,68
N9309,0,0,0,0,0,0
N9567,0,0,0,0,0,0
N9630,0,0,0,0,0,0
O0153,0,0,0,0,0,0
O0251,1,0,82,0,1,82
O0326,0,1,0,121,1,121
O0478,0,0,0,0,0,0
O0500,0,0,0,0,0,0
O0502,0,0,0,0,0,0
O0524,0,0,0,0,0,0
O0563,0,0,0,0,0,0
O0575,0,0,0,0,0,0
O0616,0,0,0,0,0,0
O0703,1,0,209,0,1,209
O0773,0,1,0,470,1,470
O0861,0,0,0,0,0,0
O1027,0,0,0,0,0,0
O1205,0,0,0,0,0,0
O1494,1,0,194,0,1,194
O1503,0,1,0,614,1,614
O1905,0,0,0,0,0,0
O2111,0,0,0,0,0,0
O2162,0,0,0,0,0,0
O2646,0,0,0,0,0,0
O2961,0,0,0,0,0,0
O3182,0,0,0,0,0,0
O3324,0,0,0,0,0,0
O3421,0,1,0,498,1,498
O3680,0,0,0,0,0,0
O3898,1,0,441,0,1,441
O4041,0,1,0,65,1,65
O4522,0,0,0,0,0,0
O4700,0,1,0,415,1,415
O4956,0,0,0,0,0,0
O5701,0,0,0,0,0,0
O5801,0,0,0,0,0,0
O6083,0,1,0,92,1,92
O6358,0,0,0,0,0,0
O6430,0,0,0,0,0,0
O6540,0,0,0,0,0,0
O6648,0,0,0,0,0,0
O6824,0,0,0,0,0,0
O7121,0,1,0,77,1,77
N9066,0,0,0,0,0,0
N9157,0,0,0,0,0,0
N9289,0,0,0,0,0,0
N9521,1,0,64,0,1,64
N9580,0,0,0,0,0,0
N9695,0,0,0,0,0,0
N9804,0,0,0,0,0,0
N9832,0,0,0,0,0,0
N9924,1,0,228,0,1,228
O0105,0,0,0,0,0,0
O0475,0,0,0,0,0,0
O0499,0,0,0,0,0,0
O0508,0,0,0,0,0,0
O0510,0,0,0,0,0,0
O0699,0,1,0,359,1,359
O0867,0,0,0,0,0,0
O1148,1,0,508,0,1,508
O1372,0,0,0,0,0,0
O1680,0,0,0,0,0,0
O1713,1,1,69,375,1,444
O1715,1,0,203,0,1,203
O1979,0,0,0,0,0,0
O2388,0,0,0,0,0,0
O2909,1,0,105,0,1,105
O2911,0,0,0,0,0,0
O3035,0,0,0,0,0,0
O3276,0,0,0,0,0,0
O4003,0,0,0,0,0,0
O4111,1,0,82,0,1,82
O4236,1,0,89,0,1,89
O4510,1,0,70,0,1,70
O4973,0,0,0,0,0,0
O5966,0,1,0,274,1,274
O6096,1,1,61,288,1,349
O6620,0,0,0,0,0,0
O6790,0,0,0,0,0,0
O6843,0,0,0,0,0,0
O6865,0,0,0,0,0,0
O7066,1,0,132,0,1,132
O7132,0,1,0,138,1,138
N8962,0,0,0,0,0,0
N9144,0,0,0,0,0,0
N9831,0,0,0,0,0,0
N9849,0,0,0,0,0,0
N9895,0,0,0,0,0,0
O0457,0,1,0,501,1,501
O0674,0,1,0,213,1,213
O0952,0,0,0,0,0,0
O0965,0,0,0,0,0,0
O1262,0,0,0,0,0,0
O1280,0,0,0,0,0,0
O1384,0,0,0,0,0,0
O1540,0,0,0,0,0,0
O1639,0,0,0,0,0,0
O1659,0,0,0,0,0,0
O1925,0,0,0,0,0,0
O2536,0,1,0,368,1,368
O2910,0,0,0,0,0,0
O3222,0,1,0,142,1,142
O4237,1,0,70,0,1,70
O4274,0,0,0,0,0,0
O4790,0,1,0,186,1,186
O5319,0,0,0,0,0,0
O5692,0,0,0,0,0,0
O5933,0,1,0,691,1,691
O6018,1,0,377,0,1,377
O6072,0,1,0,462,1,462
O6179,0,1,0,275,1,275
O6269,0,0,0,0,0,0
O6649,0,0,0,0,0,0
O6754,1,0,62,0,1,62
O6845,0,0,0,0,0,0
O6923,0,1,0,171,1,171
O7145,1,0,155,0,1,155
N9344,0,0,0,0,0,0
N9601,0,0,0,0,0,0
N9767,0,0,0,0,0,0
N9838,0,0,0,0,0,0
N9955,0,0,0,0,0,0
N9980,1,0,466,0,1,466
O0469,0,0,0,0,0,0
O0492,0,0,0,0,0,0
O0556,0,0,0,0,0,0
O0617,0,0,0,0,0,0
O0619,0,0,0,0,0,0
O0873,0,0,0,0,0,0
O0962,0,1,0,34,1,34
O1623,0,0,0,0,0,0
O1923,0,0,0,0,0,0
O1943,0,0,0,0,0,0
O2069,1,0,90,0,1,90
O2177,1,0,502,0,1,502
O2579,0,0,0,0,0,0
O2900,0,0,0,0,0,0
O2937,0,0,0,0,0,0
O4405,0,0,0,0,0,0
O4530,0,0,0,0,0,0
O4745,0,0,0,0,0,0
O4874,0,0,0,0,0,0
O4916,0,0,0,0,0,0
O4967,0,0,0,0,0,0
O5753,0,0,0,0,0,0
O6228,0,0,0,0,0,0
O6483,0,1,0,132,1,132
O6560,0,0,0,0,0,0
O6646,0,0,0,0,0,0
O6776,0,0,0,0,0,0
N9121,0,0,0,0,0,0
N9261,0,1,0,71,1,71
N9548,0,0,0,0,0,0
N9952,0,1,0,288,1,288
O0337,1,0,101,0,1,101
O0451,0,0,0,0,0,0
O1011,0,0,0,0,0,0
O1128,1,0,98,0,1,98
O1352,1,0,183,0,1,183
O1358,0,0,0,0,0,0
O1461,0,0,0,0,0,0
O1627,0,0,0,0,0,0
O2191,0,1,0,56,1,56
O2311,0,1,0,85,1,85
O2404,1,0,191,0,1,191
O2627,0,0,0,0,0,0
O2892,0,0,0,0,0,0
O4275,0,0,0,0,0,0
O4487,0,0,0,0,0,0
O4519,0,0,0,0,0,0
O5628,0,0,0,0,0,0
O5779,0,0,0,0,0,0
O7331,0,0,0,0,0,0
N8932,0,0,0,0,0,0
N9177,0,0,0,0,0,0
N9310,0,0,0,0,0,0
N9398,1,0,117,0,1,117
N9485,0,0,0,0,0,0
N9597,0,1,0,100,1,100
N9675,0,0,0,0,0,0
N9830,0,0,0,0,0,0
N9909,0,0,0,0,0,0
N9982,0,0,0,0,0,0
